"the:  I just bought a new shirt and some new shoes. The shirt was pretty expensive, but the shoes weren't.", used before nouns to refer to particular things or people that have already been talked about or are already known or that are in a situation where it is clear what is happening: 
the:  Please would you pass the salt., used before nouns to refer to particular things or people that have already been talked about or are already known or that are in a situation where it is clear what is happening: 
the:  I'll pick you up at the airport., used before nouns to refer to particular things or people that have already been talked about or are already known or that are in a situation where it is clear what is happening: 
the:  We spent all day at the beach.," used before some nouns that refer to place when you want to mention that type of place, without showing exactly which example of the place you mean: "
the:  Let's go to the movies this evening.," used before some nouns that refer to place when you want to mention that type of place, without showing exactly which example of the place you mean: "
the:  I have to go to the bank and get some Euros.," used before some nouns that refer to place when you want to mention that type of place, without showing exactly which example of the place you mean: "
the:  I really enjoyed the book I've just finished reading., used before noun phrases in which the range of meaning of the noun is limited in some way: 
the:  Do you like the other kids in your class?, used before noun phrases in which the range of meaning of the noun is limited in some way: 
the:  What will happen in the future?, used to refer to things or people when only one exists at any one time: 
"the:  After I leave college, I want to travel around the world.", used to refer to things or people when only one exists at any one time: 
the:  They live in the north of Spain., used to refer to things or people when only one exists at any one time: 
the:  Ed Koch was for many years the mayor of New York., used to refer to things or people when only one exists at any one time: 
"the:  When we went to Paris, we went up the Eiffel Tower.", used to refer to things or people when only one exists at any one time: 
the:  That was one of the best films I've ever seen.," used before superlatives and other words, such as ""first"" or ""only"" or numbers showing something's position in a list, to refer to only one thing or person: "
the:  What's the highest mountain in Asia?," used before superlatives and other words, such as ""first"" or ""only"" or numbers showing something's position in a list, to refer to only one thing or person: "
the:  I will never forget the first time we met.," used before superlatives and other words, such as ""first"" or ""only"" or numbers showing something's position in a list, to refer to only one thing or person: "
the:  You're the fifth person to ask me that question.," used before superlatives and other words, such as ""first"" or ""only"" or numbers showing something's position in a list, to refer to only one thing or person: "
the:  Harry's Bar is the place to go.," used to say that the particular person or thing being mentioned is the best, most famous, etc. In this use, ""the"" is usually given strong pronunciation: "
"the:  You don't mean you met the Will Smith (= the film star), do you?"," used to say that the particular person or thing being mentioned is the best, most famous, etc. In this use, ""the"" is usually given strong pronunciation: "
the:  It seems that the deceased (= this particular dead person) had no living relatives., used before some adjectives to turn the adjectives into nouns that refer to one particular person or thing described by the adjective: 
the:  I suppose we'll just have to wait for the inevitable (= the particular thing that is certain to happen)., used before some adjectives to turn the adjectives into nouns that refer to one particular person or thing described by the adjective: 
the:  She lives in a special home for the elderly., used before some adjectives to turn the adjectives into nouns that refer to people or things in general that can be described by the adjective: 
the:  Nico is learning to play the piano., used before some nouns referring to musical instruments or dances to mean the type of instrument or dance in general: 
the:  Can you do the waltz?, used before some nouns referring to musical instruments or dances to mean the type of instrument or dance in general: 
the:  I'm going under the knife (= having a medical operation) next week., used before a noun to represent the activity connected with that noun: 
the:  It's not a good idea to spend more than three hours at the wheel (= driving a vehicle) without a break., used before a noun to represent the activity connected with that noun: 
the:  the 60s, used before numbers that refer to periods of ten years: 
"the:  The sooner I get this piece of work done, the sooner I can go home.", used before each of two comparative adjectives or adverbs when you want to show how one amount gets bigger or smaller in relation to the other: 
the:  She doesn't seem to be any the worse for her bad experience., used before comparative adjectives or adverbs when you want to show that someone or something has become more or less of a particular state: 
"the:  André's got a new job, the lucky devil.", used for emphasis when you are expressing a strong opinion about someone or something: 
the:  He held his daughter by the arm (= her arm).," used instead of a possessive adjective such as your, her, or my: "
the:  I can't remember where I parked the (= my) car.," used instead of a possessive adjective such as your, her, or my: "
"the:  I'd like to go out tonight, but I don't think I have the energy.", enough: 
the:  I don't have the time to talk to you now., enough: 
the:  It does 30 miles to the gallon., each; every: 
of:  a friend of mine," used to show possession, belonging, or origin: "
of:  the president of the United States," used to show possession, belonging, or origin: "
of:  employees of the company," used to show possession, belonging, or origin: "
of:  the colour of his hair," used to show possession, belonging, or origin: "
of:  a habit of mine," used to show possession, belonging, or origin: "
of:  that revolting dog of hers," used to show possession, belonging, or origin: "
of:  the love of a good woman," used to show possession, belonging, or origin: "
of:  the complete plays of (= written by) Lorca," used to show possession, belonging, or origin: "
of:  a kilo of apples," used after words or phrases expressing amount, number, or a particular unit: "
of:  loads of food," used after words or phrases expressing amount, number, or a particular unit: "
of:  hundreds of people," used after words or phrases expressing amount, number, or a particular unit: "
of:  most of them," used after words or phrases expressing amount, number, or a particular unit: "
of:  none of them," used after words or phrases expressing amount, number, or a particular unit: "
of:  both of us," used after words or phrases expressing amount, number, or a particular unit: "
of:  a third of all people," used after words or phrases expressing amount, number, or a particular unit: "
of:  a speck of dust," used after words or phrases expressing amount, number, or a particular unit: "
of:  a drop of rain," used after words or phrases expressing amount, number, or a particular unit: "
of:  a bag of sweets, containing: 
of:  a bottle of beer, containing: 
of:  a book of short stories, containing: 
of:  a class of idiots, containing: 
of:  the top of his head, used in expressions showing position: 
of:  the back of your dress, used in expressions showing position: 
of:  on the corner of the street, used in expressions showing position: 
of:  the front of the queue, used in expressions showing position: 
of:  I've never been north of Philadelphia., used in expressions showing position: 
of:  She has the face of an angel., typical or characteristic of: 
of:  That guy's got the personality of a dead fish!, typical or characteristic of: 
of:  the eleventh of March, used to refer to a particular date in a month: 
of:  the first of the month, used to refer to a particular date in a month: 
of:  dresses of lace and silk, made or consisting of; having: 
of:  plates of gold and silver, made or consisting of; having: 
of:  a land of ice and snow, made or consisting of; having: 
of:  a woman of great charm, made or consisting of; having: 
of:  a subject of very little interest, made or consisting of; having: 
of:  fond of swimming, used to connect particular adjectives and verbs with nouns: 
of:  sick of his excuses, used to connect particular adjectives and verbs with nouns: 
of:  scared of spiders, used to connect particular adjectives and verbs with nouns: 
of:  It was mean of you to mention her weight., used after an adjective when judging someone's behaviour: 
of:  Thank you so much for my present. How thoughtful of you., used after an adjective when judging someone's behaviour: 
"of:  Speaking of Elizabeth, here she is.", about; relating to: 
of:  One of the advantages of travelling by train is being able to read., about; relating to: 
of:  Let us consider the events of the last five months., about; relating to: 
of:  And what of (= tell me about) young Adrian? How is he?, about; relating to: 
of:  the problem of homelessness, that is/are: 
of:  a rise of two percent in inflation, that is/are: 
of:  the skill of negotiating, that is/are: 
of:  the difficulty of bringing up twins, that is/are: 
of:  the pain of separation, that is/are: 
of:  At the age of six she could read a newspaper., that is/are: 
of:  the massacre of hundreds of innocent people, done to: 
of:  the oppression of a nation, done to: 
of:  the destruction of the rain forest, done to: 
of:  the suffering of millions, felt or experienced by: 
of:  the anguish of the murdered child's parents, felt or experienced by: 
of:  He died of cancer., through; having as the cause: 
of:  I didn't have to go there - I did it of my own free will., through; having as the cause: 
of:  I want to know how it happened because it certainly didn't happen of itself., through; having as the cause: 
of:  I liked the green one best of all ., used when comparing related things: 
of:  Worst of all was the food!, used when comparing related things: 
of:  He's the best looking of the three brothers., used when comparing related things: 
of:  I think that of all his books it's my favourite., used when comparing related things: 
of:  It's ten (minutes) of five (= ten minutes before five o'clock)., used in saying what the time is: 
